CODE,ORIGINAL ARTIST,SONG TITLE
4746,RIDWAN,CINTA APA ADANYA
1821,ST12,PUTRI IKLAN
17857,BIGWAVE,BOHONG
13789,8 BALL,JANGAN RAGU
17998,,AVAS BREAKDOWN
5085,BARASUARA,API DAN LENTERA
10502,,SAUDARA TUA
1959,,#JANGANDIANGGAPREMEH
13996,,KILL YOUR STYLIST
16804,RABEN,SEPERTI HUTAN
4710,,LOVE JOKES
17008,,KAU YANG HILANG
6491,KOES PLUS,KAN KU SONGSONG HARI ESOK
16708,,3 KATA AJAIB
18146,THE CHRONICLES OF HAPPINESS RIDE AND SERVICES,AKU BAIK-BAIK SAJA
10523,,TARAWIH
14522,INDRA7,⁠SEROTONIN 6 AM
17303,,PESONA
2758,HIVI!,APA ADANYA
17622,,"SEPERTI NAMA HARI, LAGU BERPOTENSI ABADI"
4604,,MODUS
395,LA LUNA,BULAN
11783,GANGGA,DREAMIN OF YOU
4644,RUTH SAHANAYA,JANGAN SEMUDAH INI
11885,,EMANG KENAPE
17174,,LIFE
14145,ALENA WU,怀念家乡 (MISS MY HOMETOWN)
17516,,NEVER IN YOU
13922,,DISINI
17965,,IN A FIYA
16554,ANDY HISTORI,BERSAMAMU AKU SENANG
5756,,WAHAI ORANG BERIMAN
17936,GANGSTARASTA,SEMINGGU
7641,ONEWAY,SERIBU TAHUN LAGI
2847,,TAMASYA SENDIRI
12813,"EXOTHEBAND feat DEKKA MAYO , KENATHA",MENUNGGU APALAGI
16604,DEABDIL,"BUMI, BULAN, MATAHARI"
8534,,SUBSTANSI
10011,BOWO,SEMPURNA UNTUK KU
859,,SIKAT BOTI AWAS MATI
4131,,SEMU
4580,DAMON KOESWOYO,AMPUNI AKU
15287,,WAKTU YANG PALING TEPAT
14989,,JAGA HATI
17615,,"PERTEMUAN, PERPISAHAN, HARAPAN"
10825,"DZEE, CANDRA KIM",DINDA KECIL
15075,,A LOVE LETTER
12769,,KU SETIA PADAMU
4815,,TANPAMU
10673,BILAL INDRAJAYA,PURNAMA
17287,ATLESTA,DONT NEED LOVE
17855,SOULJAH,BILANG I LOVE YOU
3380,KIDNAP KATRINA,DIAM (JANGAN BERSUARA)
14733,,GEGO LAU LE
5816,,B.D.I
7683,BOBBY FEBIAN,MULIA
654,ANANG DAN KRISDAYANTI,SUDAHI MARAHMU
17150,ALEX KUPLE,IN YOUR HEAD
7159,ALENA WU,HERE WITH ME
13066,,JANGAN KEMBALI
9970,,TUHAN KEMBALIKAN DIA
146,NAIF,BUNGA HATI
8887,GOOD OL DREAMS,TENTANG LAGU
7825,,BRUSHDTROKES ESEMBLE
6543,KOES PLUS,PERASAAN CINTAKU
4722,,TRAGEDI TRAGIS 1989
16497,IGOY JANGKUNG,HOYONG KASALIRA
11241,OCTOBER RAIN,PELESIRAN
